figure,dim_u,dim_v,variance,model,condition,projection_KL
fig3_20D_ii,10,10,0.1,NN,0.0,0.07408372698626409
fig3_20D_ii,10,10,0.1,NN,0.25,0.08009698253291972
fig3_20D_ii,10,10,0.1,NN,-0.25,0.08564177987825929
fig3_20D_ii,10,10,0.1,DM,0.0,0.09781820331973654
fig3_20D_ii,10,10,0.1,DM,0.25,0.057750894628892414
fig3_20D_ii,10,10,0.1,DM,-0.25,0.09254386390591046
dim10_ablation,10,10,0.01,DM,0.0,13.922701636491409
dim10_ablation,10,10,0.01,DM,0.25,1.1185894711963855
dim10_ablation,10,10,0.01,DM,-0.25,15.395194548608362
dim10_ablation,10,10,0.1,DM,0.0,0.09781820331973654
dim10_ablation,10,10,0.1,DM,0.25,0.057750894628892414
dim10_ablation,10,10,0.1,DM,-0.25,0.09254386390591046
dim10_ablation,10,10,0.5,DM,0.0,0.19280732119531066
dim10_ablation,10,10,0.5,DM,0.25,0.22957170587582246
dim10_ablation,10,10,0.5,DM,-0.25,0.25498075977660317
fig3_20D_i,15,5,0.1,NN,0.0,0.04565930780278287
fig3_20D_i,15,5,0.1,NN,0.25,0.041031577119190775
fig3_20D_i,15,5,0.1,NN,-0.25,0.04045523365994509
fig3_20D_i,15,5,0.1,DM,0.0,0.05625276668706456
fig3_20D_i,15,5,0.1,DM,0.25,0.05594345017421901
fig3_20D_i,15,5,0.1,DM,-0.25,0.05984549603388079
dim15_ablation,15,5,0.01,DM,0.0,0.15744268592714872
dim15_ablation,15,5,0.01,DM,0.25,0.19192794308102934
dim15_ablation,15,5,0.01,DM,-0.25,0.12115549634187864
dim15_ablation,15,5,0.1,DM,0.0,0.05625276668706456
dim15_ablation,15,5,0.1,DM,0.25,0.05594345017421901
dim15_ablation,15,5,0.1,DM,-0.25,0.05984549603388079
dim15_ablation,15,5,0.5,DM,0.0,0.13146505889627544
dim15_ablation,15,5,0.5,DM,0.25,0.13126918562121373
dim15_ablation,15,5,0.5,DM,-0.25,0.1341474114851475
